Company,Region,URL
JNE,Gorontalo,"https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/@0.5126674,122.9955407,10.75z/data=!4m8!3m7!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!9m1!1b1!16s%2Fg%2F1hm67ghgp?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Sulawesi Barat,"https://www.google.com/maps/place/JNE+cabang+Mamuju/@-2.6847263,118.8821651,17z/data=!4m8!3m7!1s0x2d92d9002345384b:0xcdfe72a5c38a638f!8m2!3d-2.6847263!4d118.8821651!9m1!1b1!16s%2Fg%2F11vx3wm5bs?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Sulawesi Tengah,"https://www.google.com/maps/place/JNE+Kantor+Cabang+Sulawesi+Tengah/@-0.8973733,119.8849872,17z/data=!4m8!3m7!1s0x2d8bee1aaaaaaaab:0xfe9f57501875594c!8m2!3d-0.8973733!4d119.8849872!9m1!1b1!16s%2Fg%2F1ptw8rpb4?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Sulawesi Utara,"https://www.google.com/maps/place/JNE+Cabang+Utama+Kota+Manado/@1.4936199,124.8734621,17z/data=!4m8!3m7!1s0x32870ab0762f68b3:0x6716507a2629ef05!8m2!3d1.4936199!4d124.8734621!9m1!1b1!16s%2Fg%2F11dftf0ccy?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Sulawesi Tenggara,"https://www.google.com/maps/place/JNE+Kantor+Cabang+Utama+Kendari/@-3.9920548,122.5037356,17z/data=!4m8!3m7!1s0x2d988d23c2e0f323:0xd58cdb78ef274d42!8m2!3d-3.9920548!4d122.5037356!9m1!1b1!16s%2Fg%2F1ygbcdz1l?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Sulawesi Selatan,"https://www.google.com/maps/place/JNE+Kantor+Cabang+Sulawesi+Selatan/@-5.1666914,119.4402909,17z/data=!4m8!3m7!1s0x2dbee2a422290b9f:0xa17f509feb2e9468!8m2!3d-5.1666914!4d119.4402909!9m1!1b1!16s%2Fg%2F1hm29l2tm?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Maluku Utara,"https://www.google.com/maps/place/JNE+Cabang+Utama+Ternate/@0.7914823,127.3862282,17z/data=!4m8!3m7!1s0x329cb157aa9d53e7:0xb0d5091d36d1f5c3!8m2!3d0.7914823!4d127.3862282!9m1!1b1!16s%2Fg%2F11f1028200?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Maluku,"https://www.google.com/maps/place/JNE+Kantor+Cabang+Utama+Ambon/@-3.7071176,128.1732242,15z/data=!4m8!3m7!1s0x2d6ce97dea79c48b:0x3f19a315cbc44824!8m2!3d-3.6996748!4d128.1835292!9m1!1b1!16s%2Fg%2F11g0yhvmry?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Papua Barat,"https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong/@-0.8774595,131.2591393,17z/data=!4m8!3m7!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!9m1!1b1!16s%2Fg%2F1ygbb6tdp?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Papua ,"https://www.google.com/maps/place/JNE+Ruko+Warna+Warni/@-2.604738,140.6388529,17z/data=!4m8!3m7!1s0x686cf5bad29bab63:0x97d7aa83f09da00f!8m2!3d-2.604738!4d140.6437238!9m1!1b1!16s%2Fg%2F11g6p73l1z?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNE,Papua Tengah,"https://www.google.com/maps/place/JNE+EXPRESS+(Kantor+Cabang+Timika)/@-4.5639689,136.8757328,17z/data=!4m8!3m7!1s0x682379def1539327:0x1baabb2018aef2bb!8m2!3d-4.5639689!4d136.8806037!9m1!1b1!16s%2Fg%2F11ggcxphw9?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
